,Comment,Emotion
2516,feel like hed think pretty cool certainly,joy
2517,im feeling little bit positive things quite hard first savings eaten quickly costs didnt want become burden boyfriend weve come end im feeling brighter inspired things come,joy
2518,im going honest feel distraught,fear
2519,feel strong connection another human want spend time,joy
2520,feel marginalised frequently intimidated roads often feel law rules define safe road layout looks like simply dont make sense im using bicycle mode transport,fear
2521,im feeling little resolved get shit done,joy
2522,feel really damn terrified rushed classroom friends playing joking around,fear
2523,took shower headed bsc loop meet allies trip club feeling triumphant helped marvellous prank,joy
2524,wont sure feel optimistic either,joy
2525,hope like feel inspired prestige others,joy
2526,feel love yesterday brought tears eyes hear say today realize special surrounded love,joy
2527,feel like almost convinced going pattern,joy
2528,truly feel somehow enough hate get mad,anger
2529,feel anyway never afraid sea healthy respect ocean sense harmony balance,fear
2530,searched long hard bad review telling shouldnt buy something feel apprehensive found people loved swore f,fear
2531,get shes saying another feel pissed thick skin put crap women heap,anger
2532,quite regular reader blog time read experience feel greatness kindness beloved father sai,joy
2533,im feeling insecure,fear
2534,remember feeling bit confused really questioned saying,fear
2535,amos beautiful job retrofitting cohens song really basic arrangement piano work feels like artistic effort merely paying homage,joy
2536,finally found afternoon wear feeling like vicious lurker,anger
2537,feel loss chakotay reassured silently approached enveloped hug,joy
2538,feel annoyed fact three weeks chemotherapy getting annoying pinching niggles back,anger
2539,also feel vulnerable left bed virtual silence,fear
2540,feel like cranky old man saying goes,anger
2541,felt little bit cramping feelings feeling weeks bothered,anger
2542,feel like bothered topic reason im sor,anger
2543,im feeling frantic try remember breathe laugh,fear
2544,spent first couple days feeling bit restless kept busy cleaning organizing etc,fear
2545,arrived monastery one week later feeling terrified,fear
2546,feel blackburn stubborn team blackpool holloway want positive reaction game even get result,anger
2547,feel really fucked still,anger
2548,know environment live smile politely wave moments feeling absolutely appalled shortsighted people,anger
2549,thankful safety loved ones loved ones friends guilty feeling selfish deeply saddened people back home cannot say,anger
2550,hoped feel weakness bothered every song every joke hear,anger
2551,run feel threatened insecure,fear
2552,expecting say bittersweet feeling im feeling bitter,anger
2553,feel suffocated yet charmed brain pauses logic,joy
2554,im feeling mellow relaxed sometimes im feeling productive quiet sometimes wanna fun yknow,joy
2555,already feel like im tortured,fear
2556,feel terrified even time write feel mr,fear
2557,promised wont enter anymore giveaways feel greedy couldnt resist one,anger
2558,execute trick work dishwasher magic feel clever,joy
2559,need reflect feel irritated,anger
2560,im sick fact far times feel depend someone stubborn proud never want sometimes happens let,anger
2561,im one girl feel insecure always,fear
2562,feel stressed minute workout gives instant boost energy helps refocus,anger
2563,happy see hopefully good job help feel little greedy,anger
2564,like finish positive note whenever feel bit fearful remember something nice rich cheers,fear
2565,feel though living island put delicious moisturiser sample lasting long time used twice day rest products gentle yet cleansing moisturising,joy
2566,feel really anxious,fear
2567,cannot help feel proud grateful america,joy
2568,says pressing torso siwons bringing faces close enough feel siwons agitated breath,anger
2569,loathe gamer said molyneux adding makes feel insulted,anger
2570,im feeling quite distressed amount horses whose jaws jammed shut consider excessive nosebands along considerable amount metal mouths,fear
2571,still feel agitated,anger
2572,start feel like reiterate fact im sure ive made clear yet post despondent incidents mermaidhaire mean sad like time,joy
2573,shouldnt afraid go public feel paranoid ive done nothing wrong,fear
2574,sat dark room minutes trying figure feel offended whether heed advice,anger
2575,know next time im glass red wine im tossing big ol ice cube im feeling really rebellious may even swirl glass sniff recommend try thing,anger
2576,dont like way feel angry,anger
2577,feel honored witness another process,joy
2578,almost started feel like wimpy popeye cartoons,fear
2579,ive feeling cranky lately,anger
2580,want give feel distracted need remind working towards,anger
2581,feeling nothing even getting agitated anymore,anger
2582,im feeling less annoyed,anger
2583,could course go feeling resentful blissfully unaware anything wrong,anger
2584,also feel little resentful fact im spending supposed best years life taking care people little social life atrophies im left without time energy maintain,anger
2585,immense sympathy general point possible proto writer trying find time write corners life sign agent let alone publishing contract feels little precious,joy
2586,didnt feel alarmed moreso feeling total welcome,fear
2587,feeling adventurous,joy
2588,feel complimented insulted,anger
2589,feel grumpy wake early,anger
2590,feel sucked back vicious cycle starts every time open door every time show back back hints love youre afraid,anger
2591,trying work finding joy simple thing god finding joy obedience even feel joyful way used,joy
2592,feel resentful irritable,anger
2593,took several deep breaths feeling cold air burn way lungs exhaling little clouds vapor,anger
2594,feeling brave bought clearly makeup,joy
2595,lock mine long lifeline loop cleat piling take gas line feeling especially paranoid spark plug covering hole duct tape,fear
2596,desk job sit ass day long sometimes feel paranoid active enough think things like dear god get fat never lose baby weight,fear
2597,always know feeling artistic write name artistic mood manitz draw circle dot bigger dot artistic feeling line like accent mark spanish im pissed,joy
2598,im feeling really adventurous maybe white,joy
2599,ask folks park feel smart park inches separating car one front behind,joy
2600,feel inspired get back mindset putting good stuff body,joy
2601,know weird see call something review feel weird saying digress,fear
2602,feel relieved rescue party arrived,joy
2603,determined lose weight healthy way work harder school better friend speak freely feel truthful people get sleep,joy
2604,im feeling fucked ive ever nothing school work,anger
2605,ive thinking drives fashion pretentious gonna make sound studying fashion design feel kinda vital understand im trying life whole,joy
2606,feel vulnerable yet extraordinarily liberated,fear
2607,feeling rich yup know blessed,joy
2608,ive coursing cycles happiness feeling mellow feeling really depressed mellow back beginning,joy
2609,want feel eager attend amp want feel like belong,joy
2610,feeling completely irritated right idea maybe usually getting home school last hour god awful videos imposed time,anger
2611,see things would never done movie adaption feel read book would bothered,anger
2612,feel wronged,anger
2613,understand nice feel like weird one,fear
2614,never feels insincere little nosy get hint something might wrong want jump get details,anger
2615,didnt feel like really got know feel im unsure character,fear
2616,feel completely agitated,anger
2617,something tell girls finally feel brave enough share news,joy
2618,id struggling feeling highly irritable toward husband,anger
2619,realized today dont know want thats primary reason feel dissatisfied often,anger
2620,suppose feels badly bit skeptical pain last months shes hyperchondria exaggeration habit past though never openly questioned,fear
2621,frantically try get done feel frantic walk studio,fear
2622,feel like im joyful maybe hormones act like feel never lie,joy
2623,got went home sick today still feeling bit shaky david helping fix broken handrail basement stairs,fear
2624,dont mean id like chicken feeling insecure maybe doubting fact able run km tomorrow,fear
2625,feel like another one underrated records album going popular amazing record nonetheless,joy
2626,feel really greedy like hogging,anger
2627,know advance fine make plans change fall end knowing feeling restless angsty,fear
2628,back home feeling restless,fear
2629,im going lie feel little insulted,anger
2630,amazing great photography feel passionate,joy
2631,omitted link article feel readers blog may offended questionable adult content nyps webpage,anger
2632,im sure feel yet seemed kind distracted decided wed give end week prove us,anger
2633,always feel pressured act normal eating around family christmas yeah ill need lose weight comfortable eating dessert stuff,fear
2634,feel like little control help sweet pea better know ahead,joy
2635,feeling resentful thinking trust,anger
2636,feeling eager leap stash fabric make something,joy
2637,lost special mind worry still sane wanted feel felt reading book know many times said sam special guarantee many times used paragraph tell special,joy
2638,love tall guys make feel little innocent however innocent last thing night,joy
2639,really feel way single day gone ive felt insecure jerome,fear
2640,write many entries humanly possible one day still feeling dissatisfied write everything wanted fact complain time lonely,anger
2641,im thankful music makes laugh music makes feel strong music makes believe,joy
2642,feel like going living rich sustained life throughout year due work,joy
2643,get upset stomach afterward complete feeling like want throw still pleasant memory first one make throw,joy
2644,asked whether feel shy around said say im active person,fear
2645,think hair feeling confused,fear
2646,feeling bit apprehensive carrying amount large without protection,fear
2647,feel complacent experiences program even sometimes find concepts done big drags still room scrutiny,joy
2648,generally eat lot junk mostly stress eating become comfortable child care feeling less stressed eating less junk,anger
2649,remember consistently feeling dissatisfied progress,anger
2650,feeling restless lately,fear
2651,need feel dough make sure perfect,joy
2652,feel distraught worried panicked sick scared sad,fear
2653,see unhealthy feel weight gained back pissed let creep back,anger
2654,feel pride buy roll quarters bodega corner feeling thing keeps irate laundry room oddly devoid coin changer machines,anger
2655,im feeling enraged another persons actions consider thinking moments prior incident,anger
2656,ill take gfathers ute get load shit would prefer manure im feeling hostile let attempt version home made compost,anger
2657,feel like frightened little child anyone could ever know,fear
2658,feel angry disgusted,anger
2659,aware indulge wounded self first thoughts feel impatient burdened make sure loving adult charge thinking second loving thoughts feel happy blessed peaceful,anger
2660,quarrel parents convinced right,anger
2661,help feel little hesitant towards lily,fear
2662,feel disgusted continuing something wants life,anger
2663,irritable went million one ideas feeling like bothered feeling inspired feeling obligated,anger
2664,im feeling far mellow normal,joy
2665,feel insulted technique also proven one worst educating already read slide faster able speak,anger
2666,started feeling rather cranky grumpy ultimately ordinary little facebook flash cousin west meath suddenly pinging bad jokes naughty stories rudolph valentino performing unspeakable acts back forth felt like party,anger
2667,baffled hurt feel assaulted unsafe,fear
2668,longer red feels weird,fear
2669,hope pagetitle khatsii feeling fearful,fear
2670,love rainbow look going think feels really festive hope kids feel like suppose constant party classroom thanks tissue paper balls,joy
2671,left meeting feeling helpless betrayed laws supposed protect people state,fear
2672,feel reassured,joy
2673,think really great situations feel overtly threatened public place everyone pretends see happening,fear
2674,im feeling really agitated reason think coz im confused,anger
2675,feel disgusted embarrased sad handled situation,anger
2676,feel self assured need compete justify clearly well someone else,joy
2677,said feel incredibly thankful whole,joy
2678,read book called mindful woman every often throughout day stop close eyes think anything hear see smell feel kind cool experiment,joy
2679,feel resentful really work resentment blow,anger
2680,changed feel im taking advantage wouldnt bothered one bit,anger
2681,feel incredibly slacking mrs greedy guts still desperate search unspoilt base career ladder,anger
2682,never thought id feel much jot sympathy hussein always viewed jumped petty thug whatever thoughts may actions administration,anger
2683,im feeling awfully irritated worried good reasons,anger
2684,feeling humorous put cold callers hold,joy
2685,failed entrance exam medical school studying biochemistry job prospects zambia,anger
2686,feel uptight love show one thing right,fear
2687,feel rather intimidated impressive background clinic general,fear
2688,think talking lawyer finishing feel anxious,fear
2689,im feeling little shaky im going give speech jens retirement lunch shortly dont want cry,fear
2690,survived first big kid trauma though still feel shaken whole event,fear
2691,feel despised dont deserve,anger
2692,feeling dangerous wimbledon width,anger
2693,feel weird self feel like,fear
2694,im feeling doodly playful artistic hungry puzzled trendy stellar wonderful,joy
2695,know simple feelings startled startled though understand words feeling words overtones green ink suddenly say,fear
2696,feel relaxed comfortable,joy
2697,im always able capture essence way see world writing feel weird way thinking generally consistent throughout short years,fear
2698,started feeling like paranoid since kept happening,fear
2699,could understand survivor reading might first feel offended talking abstract forms rape,anger
2700,always feel intimidated people especially always compare people ever since young,fear
2701,cannot describe feeling frantic alarm overtook,fear
2702,almost walked snake,fear
2703,feel like dream selfish,anger
2704,know old people feel greedy family members trying take stuff even pass,anger
2705,im done putting constant bullying feel threatened constantly defensive tired constantly defending others,fear
2706,feel disrespected insulted,anger
2707,pictured twin set copper pipes running somewhere cool contemplated one flowed outward made feel weird think one,fear
2708,like buck system climb soapbox feel wronged see others wronged part comfortable society accepts certain behaviors moral truths,anger
2709,im feeling happy well,joy
2710,feel stressed intention remain control feelings,anger
2711,guess good friend allow go life feeling distressed confused,fear
2712,remember feeling uncertain say well erm trying period due week erm,fear
2713,reminder joy peace feel arms tortured,anger
2714,feel like get mad think someones something thats really unjust,anger
2715,ive ass handed murt im starting feel fucked little,anger
2716,attempt convince others think truly feel become title resentful href http en,anger
2717,im feeling much optimistic coming en route,joy
2718,feel gulam ali even talented many classical singers,joy
2719,playing friends decided splash sand car moving nearby driver got angry came report parents,fear
2720,feel little bit anxious,fear
2721,im feeling bitchy unappreciated today,anger
2722,currently feel like crap least show face work lest get suspicious ringing sick day holidays,fear
2723,im feeling ok always hand sits close,joy
2724,love comfy main goal look new clothes cannot stand feeling uncomfortable something,fear
2725,feeling going amazing artist like daddy uncles,joy
2726,loved pack mates bonded touchy feely way sweet,joy
2727,know dont live new york anymore feel outraged could happen city,anger
2728,sleep well night feeling half brave yesterday,joy
2729,stymied little bit wrote feeling unsure might go somewhere story unintended,fear
2730,weekend home,anger
2731,feel gap feels like rich people status poor people status,joy
2732,idea particular region seems lack visibly necessary outer carniola well feel actually somewhat bothered possible evidence lack suburban spirit,anger
2733,feel honoured luckily get post cards,joy
2734,start feel annoyed whole thing end ordering pizza,anger
2735,feeling amazing mostly normal going pre thanksgiving celebration friends time softball,joy
2736,dont really connect main character anything fact feel like almost innocent,joy
2737,start feel agitated lacking patience right cranky,anger
2738,im feeling every bit spiteful vindictive bitch times,anger
2739,cant help feeling mad man,anger
2740,im feeling wimpy whiny generally tired,fear
2741,think browsers comfortable booth attention focused feel pressured make purchase,fear
2742,feel helpless,fear
2743,feel tortured tragic enough without importance sparkle,anger
2744,im feeling hopelessly restless,fear
2745,remind reminded passions opinions feel incredibly agitated frustrated ball energy channel travel,fear
2746,feel cranky disconnected,anger
2747,feel sincere repentant past opposition civil rights,joy
2748,think many years spent feeling furious dramatic perspective world extremely sensitive nature,anger
2749,ive feeling jealous lately bloggers going author readings book si,anger
2750,feel like confused person lately sigh,fear
2751,feel bit shaky night lately awoken,fear
2752,fought could feel trusting man patient cool confidence,joy
2753,look say nicely friendly well im sorry feel way apologize angered stormed saying dont need shit good night overall im till friday thankfully,anger
2754,feel absolutely fantastic hope baby,joy
2755,feel cant talk move sometimes even breath fear kind rude hateful comment,anger
2756,feel doubtful could wrong,fear
2757,always dread part meeting although dont think didnt shoot hand air feeling superior week lost,joy
2758,woke morning hike feeling jubilant,joy
2759,feel tortured sickened exactly way felt last day lances leave,fear
2760,feel shaky dizzy stomach starts hurt miss meal,fear
2761,didnt feel way got everyone dangerous path freedom,anger
2762,remember sitting family room dallas watching story unfold new york many years ago feeling helpless,fear
2763,feeling pretty triumphant held little conversation cashier realize deaf,joy
2764,insane liking someone else made feel less valuable b c wasnt working also wasnt housewife,joy
2765,still feelin kind irritable funky day goes,anger
2766,going take driving test,fear
2767,care sort bs lifestyle think live everyone wants fit feel accepted,joy
2768,feel genuinely wronged,anger
2769,love comments feel free post one,joy
2770,feel like getting fucked,anger
2771,started secondary school age every night would cry lose sleep thought school next day wasnt usual feelings oh cant bothered school,anger
2772,cornish feel insulted hurt know people age dont see see dont understand much cornwall important lives,anger
2773,cant help feel hadnt selfish could sheltered feeling way,anger
2774,im really feeling skeptical clinique products,fear
2775,feel uptight around family,fear
2776,ive gone stages nervousness sheer terror feeling relaxed excited,joy
2777,busy feel like free time home,joy
2778,made feel like fault control husband violent behavior even believed existed,anger
2779,feel like would confused waited long time reading second book,fear
2780,feeling pissed,anger
2781,want feel energetic rested,joy
2782,feel frightened frustrated wanted go back sleep felt unfinished tasks needed attend edit two articles freud dream irma injection near completion subsequently posted blog,fear
2783,feel bit energized today less grouchy,anger
2784,feel kind petty blogging,anger
2785,al feeling rather agitated totally sure coming,fear
2786,relieved excited feel confident,joy
2787,feel agitated,anger
2788,began training january least mentally preparing train remember specifically feeling apprehensive running spring marathon,fear
2789,feel wronged luckily managed control complain talk bad friend either online facebook offline person,anger
2790,im feeling indecisive want rest life,fear
2791,feel advise dads whose children soon become teenagers cool pull kid high school pick smelly jalopy plants coming windows,joy
2792,also feel strange ripe old age twenty three want goddamn life partner,fear
2793,id actually feeling less hostile towards ms lot linux using brethren lately,anger
2794,living lately often wife also ubuntu user feeling bit uncertain linux platform want keep working,fear
2795,assume feeling cold like water frozen plenty feed though eschew favor foraging scratch,anger
2796,feel thank everyone amazing thoughts prayers,joy
2797,continue succeed something someone seems unattainable feel men intimidated prolonged moment silence,fear
2798,going cry one point could feel lump throat managed stop distracted thought getting vows right,anger
2799,feeling pleased manuscript reporting results fellowship research annoyed ridiculous requirements,joy
2800,drawn totally solid neutral bags black brown throw vibrant patent red maybe feeling dangerous metallic clutch usually adventurous get accessories,anger
2801,actually feel quite scared get back exercising feel like ive lost much strength condition put much weight,fear
2802,experimented lots experiences mentions sadly made realize women feel career paths somehow going determined partners support children ther co workers etc,joy
2803,feel impatient yet fully sure searching,anger
2804,nagging feeling fucked everything first try,anger
2805,still feel fine tell getting weaker,joy
2806,im slow feel weird returning home without mum anymore,fear
2807,feel distraught ever,fear
2808,feel skeptical,fear
2809,im feeling easily irritable lately,anger
2810,know mom would take look facebook profile feel envious fun seem friends carefree state life responsible pick time go away weekend,anger
2811,feel privileged belong,joy
2812,would feel timid wearing beacuse id try get dirty etc,fear
2813,try feel confident ever eyes meet feel strong like gym exercise machines could lbs average always wanted,joy
2814,im sorry really bad cold im feeling bitchy cos never got go drinking stupid best friends tonight,anger
2815,feel media cannot resolved effectively,joy
2816,feel successful right,joy
2817,feel fearful dont know going happen next course recovering,fear
2818,feel uncomfortable around people syndrome,fear
2819,feeling angry jealous deceived,anger
2820,viewed stuff bottom deciding going come back feeling bitchy could list mood felt like ice cream sandwich,anger
2821,feel like everywhere look piece sweet boy missing,joy
2822,feeling bitter sweetness comes deep recess soul,anger
2823,guarantee im dizzy feeling like im going vomit months going pleasant person,joy
2824,know let words flow like blog still feel pressure making unsure skills,fear
2825,healing still feeling shaky times managed get finish work week,fear
2826,feeling slightly distressed pride resisting waiting next peregrinos walk past help,fear
2827,feel like one angry suffering loss stupid cancer unfairness even though nothing right,anger
2828,remember feeling inspired thinking fine example parenting,joy
2829,apologise advance feeling somewhat angered stressed following going come,anger
2830,write feeling happy childish,joy
2831,remember mum crying holding door tried break feeling terrified,fear
2832,dont yeast infection vagina could feeling irritated yeast due diet stop eating lots sugary foods,anger
2833,relax feels distinctly strange,fear
2834,saw anything wrong told excuses feeling truly insulted feeling desperate,anger
2835,got feeling watching starting making hats school friends could one develop clever use resources train tickets doc marten soles barbies shattered mirrors name,joy
2836,im sore feeling unsure world go miles weeks,fear
2837,ended eating lots carbs days feel pressured eat bunch last day,fear
2838,finished reading feeling insecure,fear
2839,feel really popular underground get thank god looking toby tunji,joy
2840,feel like one trying accomplish everything especially balance extremely distressed world,fear
2841,feel xs indecisive,fear
2842,feel offended girl,anger
2843,actually starting feel pretty cranky situation avoiding lot phone calls really didnt want talk anyone late,anger
2844,im finally feeling little productive,joy
2845,prayed trust god desire feel divine sense home,joy
2846,decided let feeling demotivate enthusiasm diwali special recipe,joy
2847,feel thing impolite katanya,anger
2848,ive always heard choose one feauture play eyes lips tone feautures love rule feel envious selena soo pretty lovely dark hair great eyes wear wide colour range,anger
2849,im really excited birthday feeling super nostalgic,joy
2850,feel like need cry past days relieved could cry much tears today haha,joy
2851,feel bit uncertain really shes nice girl good friend material,fear
2852,feeling something startled either way started shoulder ended across room slow flutter mind,fear
2853,feeling super,joy
2854,beginning feel theres good chance might pass,joy
2855,ask wife annulment case feels irritated kept telling process,anger
2856,feel pretty eager get done fun plan quilting,joy
2857,thought feel scared somewhat trepidatious nervous sad,fear
2858,finished blogging feeling shaky checked level see,fear
2859,could find another reason new area feel less intimidated simple tool understand,fear
2860,got chat rustie dean hometown moose jaw everyone made feel welcomed comfortable,joy
2861,feel place posting since feel hesitant join aa full force could use insight people inside,fear
2862,awhile started feeling irritated annoyed time one kids filled pants,anger
2863,currently feeling aggravated,anger
2864,came away experience feeling rather confused left sour taste mouth,fear
2865,started feeling intimidated thought,fear
2866,feel disgusted looking number,anger
2867,feel virtuous going spin class driving way blackburn manual unsupervised sucessfully handbrake starting,joy
2868,happened could get school initially wanted,anger
2869,feel answer completely un sarcastic way,anger
2870,woke feeling incredibly content amp optimistic today however woke terrible cold complete lack energy,joy
2871,feel agitated sitting,fear
2872,feeling shaky weak,fear
2873,feel tranquil eloquent charm praise array delights thought legard loved,joy
2874,know feels like love starting get scared actually love,fear
2875,want say feel though dont play really vital role anyones life exception one friend,joy
2876,new feels kind strange push,fear
2877,feel pretty tortured work job often inspiration strikes im work,anger
2878,feel special fun say lol amvassago cant stop laughing ever read something see beefy amkris toshibalol amits epic word beef cake amvassago nooo,joy
2879,im feeling pissed aac feeling kind miserable frustrated life whole week,anger
2880,ive clawed time back still feel strong,joy
2881,also chat feel frustrated guys think future husband,anger
2882,feel apprehensive meeting someone new particularly group situation sign everything hope found courage time comes round always far,fear
2883,feel time one posts gets massively downvoted pagetitle rugmi popular images,joy
2884,noticed earlier involved group turn speak front class could feel nervous,fear
2885,feel tortured something,anger
2886,wondering feeling brave enough make gifts,joy
2887,know never see place would break heart thick layer moss encased thick shell muffling sharper feelings pleasant painful,joy
2888,wake feeling pretty energetic thats positive anyway,joy
2889,feel unsure thanks l lot people liked,fear
2890,feel contented small old rich tired happy,joy
2891,appalled feel violent toward another human,anger
2892,feel paranoid nobody saying anything,fear
2893,feel strongly passionate hearing made heart sink,joy
2894,feel really petty immature dont want cheat greg end breaking fighting stupid little things,anger
2895,feel like snow globe shaken still waiting dust settle,fear
2896,think feeling little rebellious getting older like,anger
2897,love lots different kinds sports love hanging friends free time also unhealthy session greys anatomy im feeling ecstatic ty,joy
2898,im sure person complex set reasons leaving chalking one reason feeling like hated academia probably little simple,anger
2899,always feel joyful quite often throw prayer window,joy
2900,guess im feeling generous today decided offer fabulous deal popular prints moment,joy
2901,feel like enter class petrified im going say something make think less,fear
2902,feel like watching another copy beloved son created english speaking world wonderful clever delightful new different ways,joy
2903,im feeling rather pleased tonight,joy
2904,didnt feel like taking bitchy attitude,anger
2905,feel little bit brave,joy
2906,feel everythings resolved psychically galvanised prepared wrestle world ground,joy
2907,hope would able understand make friend feel pressured anything want,fear
2908,feel excited im feel like ton catching,joy
2909,needed get head onto screen come reread later see numerous blessings challenges okay feel overwhelmed times,fear
2910,feeling quite smug,joy
2911,feel frustrated easier days remember blessing research learning trial error hard success patience give far better garden long run,anger
2912,feel fine e terminando com eight days week um ano depois,joy
2913,know afterward feel hell lot mellow amp relaxed merely laughing stress dumps melts away,joy
2914,feel honoured humbled cos hes legend one still look,joy
2915,began feel agitated wanted buy ewan food medicine left,anger
2916,feeling pretty shaky sad,fear
2917,kind feel like investing internet dummies type book im really bothered status internet pariah,anger
2918,feel fine good enough sunday evening,joy
2919,ive always giver taker feel selfish considering idea,anger
2920,feeling little girl going arrive soon still felt unsure would actually happen,fear
2921,feel resentful toward wife weeks go without sex,anger
2922,woke emotionally drained anxious immediately defenses rise feel irritated story life,anger
2923,feel capacity producer actor someone like david would far accepted comes onscreen shows boxing different light,joy
2924,feel uncertain project,fear
2925,trying determine feel reluctant actually post ive written finally realized cannot pass something cute idea response something someone could experiencing,fear
2926,learning step back call proud admit yes feeling annoyed yes tell,anger
2927,feeling agitated lately,anger
2928,think would feeling less grumpy hadnt throughout night lungs deciding even though wasnt unwell felt though something sitting chest flattened,anger
2929,continue struggle experiencing normal feelings sense theyre chipping away precious time,joy
2930,begun feel irrationally resentful angry towards people,anger
2931,suppose thats wonderful means learn much quickly also make feel like idiot much way parents couldnt figure leave outgoing message answering machine,joy
2932,feel determined ever,joy
2933,start feel happy think lonely cat feels,joy
2934,aint feeling carefree deffinately worrying self,joy
2935,feel stunningly elegant tonight darling,joy
2936,dont want wax draw anything need unibrow maybe get rid spare hairs creeping toward eyelid im feeling brave,joy
2937,feeling highly frustrated worked long day wanted get home take shower eat snacks listen music,anger
2938,feel privileged amongst new culture learn new things,joy
2939,would feel terrified enjoy movie little better,fear
2940,feel thrilled presence eyes feel belief peace sincerity,joy
2941,im feeling moxie fab love cath script src http www,joy
2942,im feeling lucky width li style border px list style outside margin px px,joy
2943,im excited time feel little nervous,fear
2944,feel like throughout life point time say ive fucked quite people,anger
2945,feel uncertain keep personal development fitness health going right direction,fear
2946,still feel genre disservice stories resolved artifically,joy
2947,feel petty jealousy anger yesterday face wifes happiness decision chaperone trip sons school,anger
2948,wasnt feeling mad god angry allowing happen sad,anger
2949,feeling wonder dangerous place could settled mentality enmayi bring possibility,anger
2950,feeling restless reason today,fear
2951,start feel agitated inside,anger
2952,could wear casual shopping trip feel fabulous without even trying,joy
2953,im emo ing haha feeling happy instead able meet,joy
2954,know like top head much yesterday really bothersome still feeling little mad,anger
2955,snapping everybody feeling grumpy general,anger
2956,im super annoyed cause hurts time cause cant complete manicure feel like hands pretty kind scared long take heal nail grow stick finger,fear
2957,want feel annoyed resentful angry fact already experience raising kids,anger
2958,feel frantic beat heart cookie voice surprisingly clear,fear
2959,im still feeling annoyed though,anger
2960,ive rather average career decided work less earn less rolex anywhere seen managed write even publish short story collections novels mind drafts today feel successful,joy
2961,made sets wedding rings recently always feel honored asked make probably personal piece jewellery anyone ever buys,joy
2962,hear hum make feeling warmth legs shift little strange need,fear
2963,im feeling little apprehensive party,fear
2964,feel session useful gave tools need move forward life,joy
2965,feel like weve living weird time warp like wednesday,fear
2966,bombed first interview left second interview feeling pretty fan freaking tastic,joy
2967,tell time shes really feeling really sincere,joy
2968,feel like im hated celebrated cant wait till day say made,anger
2969,grab something hit feel pain damn know risks injuries might occur know dangerous,anger
2970,feel fucked,anger
2971,often feel need defend anything even casual conversation like blue color code usually christmas fanatics jump,joy
2972,feel hesitant want put much stock possibility maybe today marks end hard year start one might better,fear
2973,constantly feel lied wronged love people death,anger
2974,im feeling afraid,fear
2975,im particularly feeling pressured act behave ways culturally accepted expected,fear
2976,think even understanding history behind lends explanation projected kind important degree never feel offended people questioning,anger
2977,would cry scream kick door feel terrified,fear
2978,im feeling rebellious sake rebellious,anger
2979,feeling festive decided paint nails holiday events,joy
2980,feeling joy happiness ecstasy triumph love felt contented somehow,joy
2981,feel overwhelmed little blue usually around time month manage feelings well,fear
2982,feel like greedy easily pound overweight american,anger
2983,hurt feelings refusing listen spiteful hurtful sniping others,anger
2984,feel threatened talking,fear
2985,know trust feel generally shy away strangers,fear
2986,feel insulted go anyway,anger
2987,im feeling insecure financially right dont want spend,fear
2988,want others happy mean step back yet feels like allow happy deserve even deserve,joy
2989,happy yet feel enraged,anger
2990,feeling bit agitated stressed find surprising amount relief cleaning decluttering house even small space like closet,fear
2991,feel hesitant posting,fear
2992,look scene think cute enjoy swelling feeling pride playful delight dog,joy
2993,feel heartless saying though,anger
2994,really hate feeling youre unsure something,fear
2995,feel agitated jumpy like ate bottle caffeine pills,fear
2996,almost want post sometimes feel intimidated amazingness mom bloggers seem perfectly organized homes entertained children,fear
2997,every time meet certain dog bitten,fear
2998,feel really honored excited met,joy
2999,feel relieved finally move without single tear shed,joy
3000,must admit matter early start playing christmas music holiday shopping tree makes everything feel much holly jolly,joy
3001,woke saturday feeling little brighter keen get outdoors spending day friday wallowing self pity,joy
3002,feel like relationship revovles around sex wants really adventurous trying new things using toys etc ansi find exhausting trying keep,joy
3003,feel like take world even says wont afraid discouraged,fear
3004,havent known sue anything like long bloater lisa feel like know one people meet click grumpy old people conversations straight away roll around laughing next minute well thats sue,anger
3005,manage two short runs walk today im back feeling shy awful,fear
3006,feel fucked available pre order href http churchoffuck,anger
3007,started feel irritated feeling,anger
3008,ive planned still days feel stressed point tears helpless good far outweighs bad honestly say im happy moment,anger
3009,first anatomy lesson,anger
3010,feel like much write got distracted home wednesday evening challenge therefore lost train thought,anger
3011,feel cold coming drink little extra xango juice stiff sore,anger
3012,guess mild pain made feel even impatient get,anger
3013,saw last spot tour going wrapping whole thing must admit feeling little intimidated,fear
3014,feel like distracted day dealing fiddly necessities actual creative work feel like day wasted,anger
3015,continue feel nervous inside long talk sensibly even one time around someone wrong feelings many levels clue,fear
3016,find feeling irritable depleted run mental checklist worked,anger
3017,feeling threatened might taken away,fear
3018,remember feeling uncertain young especially became teenager,fear
3019,found perfect remedy anyone feeling stressed conflicted future href http www,anger
3020,didnt feel insulted though,anger
3021,feel offended friends especially married friends somehow judge married yet,anger
3022,im feeling insecure sad dont know book,fear
3023,feel like little kid whose mom proud touched soccer ball game,joy
3024,comforted knowing use gun protection put behind bars using feel threatened,fear
3025,feel totally completely pissed angry sad disappointed absolutely furious tough mudder biggest rip planet earth,anger
3026,im feeling virtuous spinach feta cranberry salad balsamic viniagrette,joy
3027,seriously still feel insecure dreadful new guy would suddenly pop back change things,fear
3028,know feeling sure,joy
3029,think im stupid feeling nervous,fear
3030,feel seeing clash alarmed changes planet rather laconic whole thing,fear
3031,feel remembrance strange justin aryiku falls latter category,fear
3032,feel echoes divine close,joy
